type,item_id,subitem_id
item,1313672728,
subitem,1313672728,1313673472
subitem,1313672728,1313678306
item,1313672604,
item,1313601179,
item,1308624505,
subitem,1308624505,1308624784
subitem,1308624505,1308625107
subitem,1308624505,1308885258
subitem,1308624505,1312270015
subitem,1308624505,1313325677
subitem,1308624505,1313329343
subitem,1308624505,1313344537
item,1311090872,
subitem,1311090872,1311090880
subitem,1311090872,1311090893
item,1311105931,
subitem,1311105931,1311105947
subitem,1311105931,1311105976
item,1311106059,
subitem,1311106059,1311106071
item,1311107998,
subitem,1311107998,1311108010
item,1311108027,
subitem,1311108027,1311108050
item,1311108064,
subitem,1311108064,1311108080
subitem,1311108064,1311108109
item,1311108134,
subitem,1311108134,1311108150
subitem,1311108134,1311108173
subitem,1311108134,1311108186
subitem,1311108134,1311108216
item,1311108350,
subitem,1311108350,1311108355
subitem,1311108350,1311108422
item,1311108507,
subitem,1311108507,1311108521
item,1311108564,
subitem,1311108564,1311108595
subitem,1311108564,1311108617
item,1311108646,
subitem,1311108646,1311108660
subitem,1311108646,1311108679
subitem,1311108646,1311108704
subitem,1311108646,1311108721
item,1311108735,
subitem,1311108735,1311108744
subitem,1311108735,1311108763
item,1311108779,
subitem,1311108779,1311108791
subitem,1311108779,1311108816
subitem,1311108779,1311108870
item,1311108892,
subitem,1311108892,1311109149
subitem,1311108892,1311109161
subitem,1311108892,1311109182
item,1311109196,
subitem,1311109196,1311109204
subitem,1311109196,1311109224
item,1311109255,
subitem,1311109255,1311109265
subitem,1311109255,1311109281
item,1311109300,
subitem,1311109300,1311109314
subitem,1311109300,1311109335
subitem,1311109300,1311109355
item,1311117323,
subitem,1311117323,1311117375
subitem,1311117323,1311117500
item,1311117703,
subitem,1311117703,1311117797
item,1311117873,
subitem,1311117873,1311117937
item,1311118055,
subitem,1311118055,1311118133
item,1311118307,
subitem,1311118307,1311118372
subitem,1311118307,1311118509
item,1311118828,
subitem,1311118828,1311118885
subitem,1311118828,1311118980
subitem,1311118828,1311119117
subitem,1311118828,1311119293
item,1311119440,
subitem,1311119440,1311119548
subitem,1311119440,1311119701
item,1311119777,
subitem,1311119777,1311119822
item,1311119923,
subitem,1311119923,1311119959
subitem,1311119923,1311119985
item,1311120010,
subitem,1311120010,1311120025
subitem,1311120010,1311120048
subitem,1311120010,1311120077
subitem,1311120010,1311120103
item,1311120399,
subitem,1311120399,1311120416
subitem,1311120399,1311120442
item,1311120456,
subitem,1311120456,1311120470
subitem,1311120456,1311120487
subitem,1311120456,1311120537
item,1311120576,
subitem,1311120576,1311120593
subitem,1311120576,1311120606
subitem,1311120576,1311120636
item,1311120651,
subitem,1311120651,1311120668
subitem,1311120651,1311120704
item,1311120729,
subitem,1311120729,1311120748
subitem,1311120729,1311120768
item,1311120788,
subitem,1311120788,1311120801
subitem,1311120788,1311120826
subitem,1311120788,1311120858
item,1311120874,
subitem,1311120874,1311120885
subitem,1311120874,1311120905
subitem,1311120874,1311120944
subitem,1311120874,1311120975
item,1311121009,
subitem,1311121009,1311121031
subitem,1311121009,1311121068
item,1311121105,
subitem,1311121105,1311121122
item,1311121144,
subitem,1311121144,1311121175
subitem,1311121144,1311121643
subitem,1311121144,1311121761
item,1311121826,
subitem,1311121826,1311121834
item,1311121847,
subitem,1311121847,1311121859
subitem,1311121847,1311121891
subitem,1311121847,1311121907
subitem,1311121847,1311121930
item,1311121950,
subitem,1311121950,1311121957
item,1311121969,
subitem,1311121969,1311121980
item,1311122004,
subitem,1311122004,1311122015
subitem,1311122004,1311122044
item,1311122083,
subitem,1311122083,1311122095
item,1311122116,
subitem,1311122116,1311122130
subitem,1311122116,1311122176
item,1311122217,
item,1311122230,
subitem,1311122230,1311122251
subitem,1311122230,1311122278
subitem,1311122230,1311122318
item,1311122422,
subitem,1311122422,1311122459
subitem,1311122422,1311122507
subitem,1311122422,1311122524
subitem,1311122422,1311122538
subitem,1311122422,1311122551
subitem,1311122422,1311122567
item,1311123049,
subitem,1311123049,1311123075
subitem,1311123049,1311123104
subitem,1311123049,1311123138
subitem,1311123049,1311123170
item,1311123209,
subitem,1311123209,1311123225
item,1311123267,
subitem,1311123267,1311123286
subitem,1311123267,1311123315
item,1311138810,
subitem,1311138810,1311138827
subitem,1311138810,1311138855
item,1311138913,
subitem,1311138913,1311138924
item,1311138953,
subitem,1311138953,1311138976
item,1311139026,
subitem,1311139026,1311139090
item,1311139161,
subitem,1311139161,1311139204
subitem,1311139161,1311139247
item,1311139289,
subitem,1311139289,1311139313
subitem,1311139289,1311139360
subitem,1311139289,1311139399
subitem,1311139289,1311139444
item,1311139489,
subitem,1311139489,1311139524
subitem,1311139489,1311139574
item,1311139616,
subitem,1311139616,1311139650
item,1311139732,
subitem,1311139732,1311139765
subitem,1311139732,1311139807
item,1311139865,
subitem,1311139865,1311139896
subitem,1311139865,1311139931
subitem,1311139865,1311139968
subitem,1311139865,1311139991
item,1311140448,
subitem,1311140448,1311140464
subitem,1311140448,1311140491
item,1311140512,
subitem,1311140512,1311140532
subitem,1311140512,1311140555
subitem,1311140512,1311140586
item,1311140628,
subitem,1311140628,1311140647
subitem,1311140628,1311140671
subitem,1311140628,1311140696
item,1311140748,
subitem,1311140748,1311140754
subitem,1311140748,1311140782
item,1311140808,
subitem,1311140808,1311140819
subitem,1311140808,1311140854
item,1311140916,
subitem,1311140916,1311140955
subitem,1311140916,1311140991
subitem,1311140916,1311141051
item,1311141205,
subitem,1311141205,1311141302
subitem,1311141205,1311141447
subitem,1311141205,1311141497
subitem,1311141205,1311141544
item,1311141658,
subitem,1311141658,1311141697
subitem,1311141658,1311141748
item,1311141786,
subitem,1311141786,1311141797
item,1311141828,
subitem,1311141828,1311141846
subitem,1311141828,1311142150
subitem,1311141828,1311142250
item,1311142332,
subitem,1311142332,1311142382
